Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
0,0.01644619,-0.1517251,0.1080897,0.001015204,-0.02045836,0.9970807,15.3017,0.4328527,-41.06483
0.010078907,0.01654156,-0.3308571,0.04700107,0.001496836,-0.01803474,0.9990417,15.30666,-0.3084283,-41.06782
0.020158291,0.1397353,0.02775334,0.04694203,0.001004352,-0.02387611,0.9902474,15.30666,-0.3084283,-41.06782
0.030237675,0.01659669,-0.09172359,0.04694056,-0.001427811,-0.01955863,0.9868692,15.30666,-0.3084283,-41.06782
0.040316582,0.01657585,-0.2112006,-0.01405207,-0.001897507,-0.019532,0.9912492,15.30666,-0.3084283,-41.06782
0.050395966,-0.1065821,0.1473159,0.0469376,5.35E-05,-0.02481734,0.9941354,15.30666,-0.3084283,-41.06782
0.060475349,0.01653421,-0.1514274,-0.07508455,-0.002864638,-0.01905347,0.9907663,14.92893,1.179976,-40.62602
0.070554256,0.07799502,-0.03185146,0.1690128,3.83E-05,-0.02000082,0.9931914,14.92893,1.179976,-40.62602
0.078113556,0.1395578,-0.03184022,0.1078816,-0.00188557,-0.01708175,0.9975901,14.92893,1.179976,-40.62602
0.08819294,-0.04517817,-0.03185653,-0.01414048,0.001499004,-0.01996975,0.9980567,14.92893,1.179976,-40.62602
0.098271847,-0.2298755,-0.03194784,-0.07517142,-0.001886814,-0.02096376,0.9936736,14.92893,1.179976,-40.62602
0.10835123,-0.1066236,0.08753434,-0.01416247,-0.00431247,-0.01808704,0.9912598,15.30895,0.4329805,-40.18955
0.118430614,-0.04510489,0.02769396,-0.07528921,0.003898778,-0.02096244,0.9931826,15.30895,0.4329805,-40.18955
0.128509521,0.01645266,0.206963,0.2297996,0.000524431,-0.02096196,0.9936717,15.30895,0.4329805,-40.18955
0.138589382,0.1394918,0.02764317,0.04667158,0.0005297,-0.02192047,0.9946392,15.30895,0.4329805,-40.18955
0.148668766,-0.1068417,0.08748899,-0.01441656,0.000530162,-0.02482898,0.9921885,15.30895,0.4329805,-40.18955
0.15874815,0.1396248,0.1470908,0.04657355,0.002464892,-0.02433029,0.9946231,15.3017,0.4328527,-41.06483
0.168827057,0.07800663,0.2068053,0.04649591,0.001487534,-0.02096424,0.9931844,15.3017,0.4328527,-41.06483
0.178906441,0.0780247,0.02754189,-0.0755257,-0.000923556,-0.02048079,0.9936758,15.3017,0.4328527,-41.06483
0.188985348,0.07804274,0.0275636,0.04647483,0.000993508,-0.01856534,0.9912528,15.3017,0.4328527,-41.06483
0.199064731,-0.04499904,-0.09181929,-0.01457471,-0.000921698,-0.0233863,0.9917117,15.3017,0.4328527,-41.06483
0.209144115,0.0781753,0.0874873,0.1073684,-0.002856429,-0.02388498,0.9892771,15.29922,0.8034935,-41.06334
0.219223022,0.0780191,0.08747122,-0.0147871,-0.000449831,-0.02098367,0.9902661,15.29922,0.8034935,-41.06334
0.229302406,0.01651693,0.08745519,-0.1369042,-0.003329997,-0.02289684,0.9931764,15.29922,0.8034935,-41.06334
0.23938179,0.1397687,0.08734532,0.2291765,4.30E-05,-0.01853607,0.9961199,15.29922,0.8034935,-41.06334
0.249460697,0.07813092,-0.09186183,-0.01507608,0.001491874,-0.02046999,0.9951339,15.29674,1.174134,-41.06185
0.259540081,0.01651256,0.027583,-0.01517215,-0.000442701,-0.02048343,0.9931889,15.29674,1.174134,-41.06185
0.269619465,0.07810876,-0.03214453,0.1678396,-0.001416497,-0.01904939,0.9912518,15.29674,1.174134,-41.06185
0.279698372,-0.1066661,-0.2112391,-0.01526807,-0.000433563,-0.0267677,0.9907176,15.29674,1.174134,-41.06185
0.289777756,-0.1682457,0.08764075,0.1067335,-0.001402396,-0.02289841,0.9926884,15.29674,1.174134,-41.06185
0.299857139,0.1396828,-0.1514285,-0.0153638,0.000501188,-0.01519294,0.9907872,15.30647,0.8036213,-40.18806
0.309936046,0.01640888,0.1476014,0.04572334,0.001966219,-0.01903187,0.9936823,15.30647,0.8036213,-40.18806
0.32001543,0.1395061,0.1475474,-0.07637393,3.86E-05,-0.02339457,0.9902511,15.30647,0.8036213,-40.18806
0.330094337,0.1394662,-0.03182922,0.1067914,-0.002850383,-0.02241723,0.9926924,15.30647,0.8036213,-40.18806
0.340173721,-0.1069639,-0.09172609,0.1677634,4.76E-05,-0.02143558,0.9951291,15.30647,0.8036213,-40.18806
0.350253105,-0.045348,0.0276623,-0.01542079,-0.00189704,-0.01807625,0.992718,15.30533,0.4329166,-40.62719
0.360332012,-0.04540709,0.08737674,0.2287358,-0.001416963,-0.02050514,0.9897831,15.30533,0.4329166,-40.62719
0.370411396,-0.04535008,-0.2113101,0.1066003,-0.001409833,-0.02000489,0.9927059,15.30533,0.4329166,-40.62719
0.380491257,-0.106794,-0.09177148,-0.01553513,0.006309249,-0.01902264,0.9946524,15.30533,0.4329166,-40.62719
0.388050556,-0.04515383,0.02777582,-0.07655001,0.002458228,-0.02337478,0.9931691,15.30533,0.4329166,-40.62719
0.39812994,-0.2298899,0.207026,0.04550932,0.000521334,-0.0175742,0.9956388,14.92893,1.179976,-40.62602
0.408208847,0.07799996,-0.03206187,-0.01555818,0.001484122,-0.02291124,0.990253,14.92893,1.179976,-40.62602
0.418288231,-0.1682756,0.02774633,-0.07664482,-0.001412778,-0.02049614,0.9912429,14.92893,1.179976,-40.62602
0.428367138,0.07807469,0.08732933,0.106425,3.61E-05,-0.01806581,0.9941763,14.92893,1.179976,-40.62602
0.438446522,0.07809266,0.02756429,-0.07673973,-0.001910216,-0.02004424,0.98638,14.92893,1.179976,-40.62602
0.448525905,0.1396115,0.02762349,0.1063877,0.003420092,-0.02289481,0.9926847,15.30533,0.4329166,-40.62719
0.458604812,0.01641506,0.02772017,0.04533959,0.002461485,-0.02191303,0.995611,15.30533,0.4329166,-40.62719
0.468684196,0.07799202,-0.09185053,0.1063505,-0.000927433,-0.02388354,0.9892756,15.30533,0.4329166,-40.62719
0.47876358,-0.04512706,0.02765063,-0.1988348,-0.002380066,-0.02050286,0.9902706,15.30533,0.4329166,-40.62719
0.488842487,-0.1683623,0.2067884,0.2284298,0.001002184,-0.0219411,0.9912323,15.30533,0.4329166,-40.62719
0.498921871,0.0163712,0.02743121,0.1673051,-0.000919677,-0.01707803,0.9980761,15.67429,0.7977791,-40.62389
0.509001255,-0.1068059,-0.03227734,0.1671716,5.06E-05,-0.02094433,0.9965921,15.67429,0.7977791,-40.62389
0.519080162,-0.04513215,-0.1516976,0.1059896,-0.002362861,-0.01901112,0.9975788,15.67429,0.7977791,-40.62389
0.529159546,0.07800363,-0.03219637,0.04486532,-0.000430147,-0.02045644,0.9975685,15.67429,0.7977791,-40.62389
0.539238453,0.01640476,0.0871548,-0.07721172,0.003417613,-0.0219303,0.9926905,15.67429,0.7977791,-40.62389
0.549317837,-0.1681572,-0.09203334,-0.0162194,-0.003329687,-0.02192634,0.9941555,14.92282,1.550552,-41.06217
0.559397697,0.07825095,0.08725474,0.04481132,-0.005269218,-0.02001077,0.9922222,14.92282,1.550552,-41.06217
0.569477081,-0.1064854,-0.09208363,0.04471669,-0.004796423,-0.01906091,0.9897945,14.92282,1.550552,-41.06217
0.579555988,-0.1064097,0.1471038,0.1667195,0.001485827,-0.02193774,0.9917186,14.92282,1.550552,-41.06217
0.589635372,0.07830401,-0.0322159,-0.1385224,-0.000937967,-0.01760227,0.9912602,14.92282,1.550552,-41.06217
0.599714756,0.01666606,0.02747994,0.1666458,0.001014583,-0.02239936,0.9951226,16.04572,0.7920012,-40.62208
0.609793663,0.01654843,0.2067492,-0.07768156,0.001966064,-0.01951712,0.9931929,16.04572,0.7920012,-40.62208
0.619873047,0.01658565,-0.1517616,0.04451336,-0.00044534,-0.02436844,0.9887857,16.04572,0.7920012,-40.62208
0.629952431,-0.1065917,0.2067365,-0.2607093,0.002463497,-0.02433329,0.9941365,16.04572,0.7920012,-40.62208
